-0.0187,0.0004
0.0198,0.0004
0.0498,0.0004
0.0901,0.0119
0.1299,0.0119
0.1678,0.0233
0.2006,0.0251
0.2391,0.0407
0.2802,0.0683
0.3099,0.0816
0.3499,0.1154
0.3894,0.1595
0.4313,0.2033
0.4606,0.2306
0.5009,0.2729
0.5395,0.3216
0.5701,0.3625
0.6091,0.4171
0.6499,0.4669
0.6794,0.5035
0.7200,0.5539
0.7597,0.6065
0.7997,0.6730
0.8297,0.7228
0.8690,0.7768
0.9091,0.8431
0.9391,0.8930
0.9796,0.9710
1.0197,1.0438
1.0603,1.1278
1.0903,1.1901
1.1292,1.2826
1.1700,1.3777
1.1997,1.4676
1.2402,1.5688
1.2795,1.6665
1.3202,1.7503
1.3501,1.8128
1.3890,1.8817
1.4307,1.9434
1.4601,1.9713
1.5000,1.9923
1.5391,2.0180
1.5801,2.0243
1.6096,2.0348
1.6497,2.0464
1.6887,2.0479
1.7203,2.0593
1.7595,2.0593
1.8009,2.0593
1.8402,2.0593
1.8707,2.0593
1.9088,2.0707
1.9502,2.0707
1.9785,2.0707
2.0199,2.0707
2.0613,2.0707
2.0897,2.0707
2.1311,2.0707
2.1703,2.0707
2.2095,2.0707
2.2400,2.0707
2.2793,2.0707
2.3185,2.0707
2.3490,2.0707
2.3904,2.0707
2.4297,2.0707
2.4711,2.0707
2.5000,2.0707
2.5391,2.0707
