-2.9995,0.1060
-2.9548,0.1057
-2.8878,0.1054
-2.8432,0.1052
-2.7762,0.1055
-2.7315,0.1057
-2.6645,0.1055
-2.6199,0.1051
-2.5529,0.1046
-2.5082,0.1047
-2.4636,0.1048
-2.3966,0.1051
-2.3519,0.1051
-2.2849,0.1051
-2.2403,0.1053
-2.1733,0.1060
-2.1287,0.1066
-2.0617,0.1081
-2.0171,0.1090
-1.9503,0.1134
-1.9065,0.1179
-1.8628,0.1237
-1.7977,0.1426
-1.7608,0.1588
-1.7055,0.1902
-1.6687,0.2208
-1.6269,0.2682
-1.6037,0.2986
-1.5688,0.3508
-1.5456,0.3910
-1.5224,0.4361
-1.4889,0.5118
-1.4713,0.5562
-1.4397,0.6438
-1.4186,0.7071
-1.3905,0.7971
-1.3694,0.8685
-1.3382,0.9802
-1.3200,1.0519
-1.2913,1.1723
-1.2704,1.2632
-1.2495,1.3544
-1.2181,1.4874
-1.1998,1.5605
-1.1699,1.6778
-1.1489,1.7601
-1.1189,1.8742
-1.1009,1.9390
-1.0709,2.0377
-1.0499,2.0979
-1.0278,2.1525
-0.9943,2.2207
-0.9720,2.2586
-0.9386,2.3073
-0.9162,2.3361
-0.8725,2.3864
-0.8367,2.4167
-0.7831,2.4491
-0.7467,2.4666
-0.6815,2.4853
-0.6380,2.4912
-0.5943,2.4977
-0.5281,2.5090
-0.4840,2.5153
-0.4174,2.5216
-0.3728,2.5238
-0.3059,2.5245
-0.2576,2.5227
-0.1835,2.5174
-0.1499,2.5147
