0.7779,0.0934
0.8097,0.0938
0.8327,0.0956
0.8579,0.0986
0.8800,0.1020
0.9086,0.1077
0.9303,0.1129
0.9604,0.1213
0.9773,0.1266
1.0120,0.1392
1.0291,0.1464
1.0635,0.1626
1.0813,0.1717
1.1103,0.1887
1.1317,0.2031
1.1576,0.2217
1.1828,0.2425
1.2089,0.2662
1.2303,0.2885
1.2604,0.3238
1.2771,0.3465
1.3115,0.3996
1.3290,0.4273
1.3627,0.4834
1.3883,0.5258
1.4103,0.5619
1.4397,0.6114
1.4571,0.6396
1.4920,0.6970
1.5067,0.7256
1.5416,0.7842
1.5602,0.8141
1.5902,0.8647
1.6107,0.8993
1.6410,0.9474
1.6632,0.9823
1.6874,1.0244
1.7105,1.0586
1.7407,1.1038
1.7571,1.1306
1.7914,1.1811
1.8085,1.2065
1.8424,1.2557
1.8590,1.2811
1.8938,1.3301
1.9112,1.3556
1.9367,1.3927
1.9719,1.4397
1.9884,1.4642
2.0228,1.5116
2.0381,1.5316
2.0700,1.5716
2.0908,1.5967
2.1166,1.6252
2.1424,1.6511
2.1676,1.6749
2.1897,1.6933
2.2188,1.7157
2.2403,1.7298
2.2709,1.7473
2.2879,1.7563
2.3221,1.7721
2.3392,1.7792
2.3734,1.7915
2.3913,1.7971
2.4206,1.8055
2.4430,1.8115
2.4675,1.8174
2.4935,1.8231
2.5221,1.8256
