-2.9995,0.1059
-2.9527,0.1056
-2.8827,0.1052
-2.8360,0.1051
-2.7659,0.1053
-2.7192,0.1054
-2.6491,0.1052
-2.6025,0.1049
-2.5557,0.1046
-2.4856,0.1047
-2.4389,0.1049
-2.3689,0.1049
-2.3222,0.1049
-2.2755,0.1049
-2.2054,0.1054
-2.1587,0.1059
-2.0887,0.1073
-2.0420,0.1081
-1.9720,0.1108
-1.9258,0.1149
-1.8798,0.1195
-1.8110,0.1341
-1.7697,0.1497
-1.7100,0.1788
-1.6703,0.2076
-1.6240,0.2547
-1.5979,0.2860
-1.5718,0.3213
-1.5326,0.3840
-1.5065,0.4337
-1.4799,0.4910
-1.4600,0.5379
-1.4402,0.5881
-1.4083,0.6755
-1.3924,0.7227
-1.3605,0.8241
-1.3379,0.9024
-1.3105,1.0069
-1.2885,1.0965
-1.2720,1.1661
-1.2390,1.3091
-1.2197,1.3931
-1.1902,1.5212
-1.1697,1.6146
-1.1492,1.7114
-1.1185,1.8573
-1.0980,1.9514
-1.0723,2.0608
-1.0516,2.1393
-1.0233,2.2332
-0.9977,2.3082
-0.9806,2.3535
-0.9506,2.4247
-0.9293,2.4702
-0.9036,2.5193
-0.8750,2.5663
-0.8270,2.6233
-0.7951,2.6507
-0.7631,2.6735
-0.7016,2.7050
-0.6570,2.7150
-0.5899,2.7275
-0.5440,2.7380
-0.4982,2.7470
-0.4290,2.7552
-0.3824,2.7565
-0.3124,2.7542
-0.2629,2.7505
-0.1853,2.7410
-0.1499,2.7364
