0.0899,0.1240
0.1174,0.1262
0.1420,0.1327
0.1705,0.1414
0.1912,0.1489
0.2203,0.1607
0.2407,0.1701
0.2695,0.1847
0.2903,0.1969
0.3194,0.2148
0.3485,0.2357
0.3728,0.2551
0.3976,0.2776
0.4225,0.3016
0.4483,0.3289
0.4716,0.3557
0.4964,0.3872
0.5213,0.4186
0.5501,0.4536
0.5709,0.4811
0.5961,0.5143
0.6276,0.5534
0.6504,0.5837
0.6779,0.6199
0.7027,0.6514
0.7283,0.6862
0.7527,0.7189
0.7773,0.7519
0.8019,0.7853
0.8275,0.8189
0.8599,0.8639
0.8768,0.8866
0.9118,0.9348
0.9283,0.9575
0.9612,1.0028
0.9776,1.0254
1.0101,1.0703
1.0301,1.0981
1.0586,1.1368
1.0813,1.1693
1.1083,1.2069
1.1400,1.2487
1.1561,1.2747
1.1886,1.3195
1.2101,1.3514
1.2380,1.3862
1.2595,1.4179
1.2906,1.4605
1.3097,1.4903
1.3380,1.5294
1.3716,1.5761
1.3876,1.5992
1.4208,1.6426
1.4371,1.6621
1.4703,1.7003
1.4868,1.7174
1.5198,1.7500
1.5404,1.7691
1.5693,1.7941
1.5895,1.8107
1.6190,1.8325
1.6518,1.8555
1.6682,1.8660
1.7012,1.8860
1.7173,1.8948
1.7507,1.9123
1.7669,1.9205
1.8003,1.9353
1.8172,1.9423
1.8495,1.9539
