-2.9995,0.0802
-2.9549,0.0799
-2.8880,0.0794
-2.8435,0.0792
-2.7766,0.0795
-2.7320,0.0798
-2.6652,0.0797
-2.6206,0.0792
-2.5761,0.0787
-2.5092,0.0787
-2.4646,0.0789
-2.3978,0.0794
-2.3532,0.0795
-2.3086,0.0796
-2.2418,0.0801
-2.1972,0.0805
-2.1303,0.0814
-2.0858,0.0824
-2.0190,0.0837
-1.9745,0.0859
-1.9303,0.0900
-1.8647,0.0974
-1.8210,0.1071
-1.7616,0.1295
-1.7240,0.1472
-1.6677,0.1878
-1.6376,0.2201
-1.6142,0.2485
-1.5792,0.2974
-1.5559,0.3352
-1.5209,0.4017
-1.4985,0.4517
-1.4813,0.4940
-1.4504,0.5778
-1.4298,0.6390
-1.3988,0.7381
-1.3817,0.7964
-1.3510,0.9061
-1.3303,0.9863
-1.3102,1.0706
-1.2800,1.2048
-1.2599,1.2963
-1.2296,1.4316
-1.2095,1.5176
-1.1906,1.5941
-1.1585,1.7250
-1.1409,1.7957
-1.1117,1.9090
-1.0883,1.9924
-1.0591,2.0833
-1.0389,2.1351
-1.0146,2.1858
-0.9773,2.2456
-0.9523,2.2772
-0.9154,2.3169
-0.8862,2.3454
-0.8277,2.3834
-0.7887,2.3986
-0.7497,2.4108
-0.6834,2.4218
-0.6391,2.4235
-0.5726,2.4283
-0.5283,2.4326
-0.4839,2.4364
-0.4171,2.4403
-0.3726,2.4418
-0.3058,2.4425
-0.2575,2.4415
-0.1834,2.4380
-0.1499,2.4363
